timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
2025-11-08T13:50:31.714850,TELEMETRY,3096.0,0.0,0.0,-23.3,14.1,173.6,151.4,385.1,77.7,85.8,41.6,22.6,12.1,13.2,1.410645,-0.081055,-0.065918,32.36562,28.37109,28.66882,28.44552,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.731148,TELEMETRY,3111.0,0.0,0.0,-23.3,14.1,173.6,151.6,384.6,77.7,85.8,42.8,22.8,12.1,13.2,1.368164,-0.081543,-0.008789,32.45245,28.27184,28.78046,28.56957,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.757203,TELEMETRY,3111.0,0.0,0.0,-23.7,14.1,173.6,151.7,384.5,77.6,85.8,40.9,22.6,12.1,13.2,1.307617,-0.044922,-0.04834,32.45245,28.44552,28.71844,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.800981,TELEMETRY,3131.0,0.0,0.0,-23.3,14.1,173.9,151.6,384.9,77.6,85.8,43.3,23.4,12.1,13.2,0.785156,-0.112305,-0.073242,32.36562,28.38349,28.71844,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.801129,TELEMETRY,3131.0,0.0,0.0,-23.3,14.1,174.0,151.6,384.9,77.6,85.8,43.3,23.4,12.1,13.2,0.955078,-0.121094,-0.026855,32.44005,28.47033,28.68122,28.55717,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.811557,TELEMETRY,3133.0,0.0,0.0,-23.3,14.1,174.1,151.7,384.8,77.8,85.8,42.7,23.1,12.0,13.2,1.033691,-0.003418,0.116211,32.34081,28.33387,28.69363,28.61919,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.813822,TELEMETRY,3133.0,0.0,0.0,-23.3,14.1,174.1,151.7,384.8,77.8,85.8,42.7,23.1,12.0,13.2,0.757324,-0.112305,-0.057129,32.41524,28.34628,28.83009,28.50755,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.847131,TELEMETRY,3140.0,0.0,0.0,-23.7,14.1,174.1,151.7,385.2,77.8,85.8,42.4,22.8,12.1,13.2,1.07666,-0.040527,-0.066895,32.45245,28.42071,28.76806,28.45792,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.847347,TELEMETRY,3140.0,0.0,0.0,-23.7,14.1,174.1,151.6,384.9,77.8,85.8,41.5,23.4,12.1,13.2,1.335938,-0.025391,-0.081055,32.29118,28.32146,28.6316,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.921798,TELEMETRY,3140.0,0.0,0.0,-23.7,14.1,174.1,151.7,385.1,77.8,85.8,40.8,23.2,12.2,13.2,1.203613,0.03418,-0.011719,32.34081,28.3959,28.79287,28.47033,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.096672,TELEMETRY,3142.0,0.0,0.0,-23.7,14.1,174.4,151.7,385.1,77.8,85.8,43.1,23.1,12.2,13.2,1.225098,0.037598,0.033203,32.21675,28.3959,28.73084,28.44552,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.313046,TELEMETRY,3105.0,0.0,0.0,-23.7,14.1,174.5,151.7,385.1,77.7,85.8,43.1,23.1,12.2,13.2,0.863281,-0.174805,0.005859,32.39043,28.58198,28.76806,28.74325,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.335435,TELEMETRY,3157.0,0.0,0.0,-23.3,14.1,174.5,151.7,384.9,77.7,85.8,43.0,23.4,12.2,13.2,0.890137,-0.10498,-0.006348,32.44005,28.42071,28.73084,28.68122,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.751943,TELEMETRY,3157.0,0.0,0.0,-23.3,14.1,174.6,151.7,384.8,77.7,85.8,40.9,22.7,12.2,13.2,1.178223,-0.070313,0.059082,32.36562,28.37109,28.71844,28.65641,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.752260,TELEMETRY,3177.0,0.0,0.0,-23.3,14.1,174.6,151.7,384.8,77.7,85.8,40.9,22.7,12.2,13.2,1.133301,-0.055176,0.03125,32.50208,28.3959,28.71844,28.48273,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.752416,TELEMETRY,3187.0,0.0,0.0,-23.3,14.1,174.6,151.7,384.5,77.8,85.8,41.4,23.1,12.1,13.2,0.74707,-0.069824,-0.01123,32.83702,28.37109,28.76806,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.752546,TELEMETRY,3156.0,0.0,0.0,-23.3,14.1,174.6,151.7,385.1,77.7,85.8,43.4,23.4,12.1,13.2,1.265625,0.037598,0.040039,32.44005,28.45792,28.81768,28.56957,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.752686,TELEMETRY,3193.0,0.0,0.0,-23.3,14.1,174.6,151.7,385.1,77.7,85.8,43.4,23.4,12.1,13.2,1.02832,-0.008301,-0.007324,32.31599,28.42071,28.76806,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.827502,TELEMETRY,3193.0,0.0,0.0,-23.7,14.1,174.9,151.7,384.5,77.8,85.8,41.7,23.4,12.1,13.2,0.707031,-0.085449,0.008789,32.29118,28.47033,28.66882,28.53236,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.863302,TELEMETRY,3144.0,0.0,0.0,-23.3,14.1,175.0,151.7,384.7,78.0,85.8,42.7,23.4,12.1,13.2,1.347168,0.031738,0.041992,32.45245,28.34628,28.65641,28.51995,0.0,0.0,nan,nan,0.0
