timestamp,source,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
1762640470260.232,GPS,33.008,-84.188,317.89,0.42,7
1762640471155.585,GPS,33.008,-84.188,317.89,0.44,7
1762640471252.605,GPS,33.008,-84.188,317.89,0.44,8
1762640472142.784,GPS,33.008,-84.188,317.89,0.38,8
1762640472265.714,GPS,33.008,-84.188,317.89,0.38,9
1762640473149.576,GPS,33.008,-84.189,317.89,0.42,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.42,9
1762640474139.639,GPS,33.008,-84.189,317.89,0.25,9
1762640474254.825,GPS,33.008,-84.189,317.89,0.25,9
1762640475138.322,GPS,33.008,-84.189,317.89,0.09,9
1762640475254.379,GPS,33.008,-84.189,317.89,0.09,9
1762640476149.544,GPS,33.008,-84.189,317.89,0.07,9
1762640476253.274,GPS,33.008,-84.189,317.89,0.07,9
1762640477138.488,GPS,33.008,-84.189,317.89,0.15,9
1762640477252.985,GPS,33.008,-84.189,317.89,0.15,9
1762640478148.613,GPS,33.008,-84.189,317.89,0.15,9
1762640478266.495,GPS,33.008,-84.189,317.89,0.15,9
1762640479166.863,GPS,33.008,-84.189,317.89,0.29,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.29,9
1762640480144.689,GPS,33.008,-84.189,317.89,0.18,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.18,9
1762640481138.164,GPS,33.008,-84.189,317.89,0.27,9
1762640481251.529,GPS,33.008,-84.189,317.89,0.27,9
1762640482137.671,GPS,33.008,-84.189,317.89,0.17,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.17,9
1762640483150.864,GPS,33.008,-84.189,317.89,0.24,9
1762640483267.978,GPS,33.008,-84.189,317.89,0.24,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.37,9
1762640484262.544,GPS,33.008,-84.189,317.89,0.37,9
1762640485140.647,GPS,33.008,-84.189,317.89,0.36,9
1762640485257.074,GPS,33.008,-84.189,317.89,0.36,9
1762640486136.059,GPS,33.008,-84.189,317.89,0.33,9
1762640486253.738,GPS,33.008,-84.189,317.89,0.33,9
1762640487149.805,GPS,33.008,-84.189,317.89,0.18,9
1762640487266.852,GPS,33.008,-84.189,317.89,0.18,9
1762640488135.148,GPS,33.008,-84.189,317.89,0.14,9
1762640488251.689,GPS,33.008,-84.189,317.89,0.14,9
1762640489148.654,GPS,33.008,-84.189,317.89,0.12,9
1762640489266.625,GPS,33.008,-84.189,317.89,0.12,9
1762640490196.498,GPS,33.008,-84.189,317.89,0.13,9
1762640490305.481,GPS,33.008,-84.189,317.89,0.13,10
1762640491151.227,GPS,33.008,-84.189,317.89,0.3,10
1762640491276.087,GPS,33.008,-84.189,317.89,0.3,10
1762640492149.781,GPS,33.008,-84.189,317.89,0.19,10
1762640492264.962,GPS,33.008,-84.189,317.89,0.19,9
1762640493138.447,GPS,33.008,-84.189,317.89,0.1,9
1762640493255.459,GPS,33.008,-84.189,317.89,0.1,8
1762640494137.381,GPS,33.008,-84.189,317.89,0.04,8
1762640494252.478,GPS,33.008,-84.189,317.89,0.04,7
1.76264E+12,GPS,33.008,-84.189,317.89,0.81,7
1762640495248.112,GPS,33.008,-84.189,317.89,0.81,7
1762640496137.978,GPS,33.008,-84.189,317.89,0.36,7
1762640496255.403,GPS,33.008,-84.189,317.89,0.36,8
1762640497148.689,GPS,33.008,-84.189,317.89,0.15,8
1762640497265.712,GPS,33.008,-84.189,317.89,0.15,8
1762640498140.127,GPS,33.008,-84.189,317.89,0.07,8
1762640498254.966,GPS,33.008,-84.189,317.89,0.07,9
1762640499146.319,GPS,33.008,-84.189,317.89,0.06,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.06,9
1762640500155.025,GPS,33.008,-84.189,317.89,0.17,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.17,9
1762640501142.412,GPS,33.008,-84.189,317.89,0.16,9
1762640501255.377,GPS,33.008,-84.189,317.89,0.16,10
1762640502154.361,GPS,33.008,-84.189,317.89,0.35,10
1762640502271.335,GPS,33.008,-84.189,317.89,0.35,10
1762640503143.814,GPS,33.008,-84.189,317.89,0.2,10
1762640503262.301,GPS,33.008,-84.189,317.89,0.2,10
1762640504144.507,GPS,33.008,-84.189,317.89,0.16,10
1762640504265.317,GPS,33.008,-84.189,317.89,0.16,10
1762640505139.264,GPS,33.008,-84.189,317.89,0.04,10
1762640505255.232,GPS,33.008,-84.189,317.89,0.04,10
1762640506150.615,GPS,33.008,-84.189,317.89,0.07,10
1762640506268.536,GPS,33.008,-84.189,317.89,0.07,10
1762640507139.485,GPS,33.008,-84.189,317.89,0.23,10
1.76264E+12,GPS,33.008,-84.189,317.89,0.23,9
1762640508141.015,GPS,33.008,-84.189,317.89,0.55,9
1762640508255.295,GPS,33.008,-84.189,317.89,0.55,8
1762640509153.854,GPS,33.008,-84.189,317.89,0.28,8
1762640509254.459,GPS,33.008,-84.189,317.89,0.28,8
1762640510146.733,GPS,33.008,-84.189,317.89,0.66,8
1762640510247.554,GPS,33.008,-84.189,317.89,0.66,7
1762640511138.763,GPS,33.008,-84.189,317.89,0.19,7
1762640511254.131,GPS,33.008,-84.189,317.89,0.19,8
1762640512136.605,GPS,33.008,-84.189,317.89,0.23,8
1762640512249.809,GPS,33.008,-84.189,317.89,0.23,7
1762640513137.834,GPS,33.008,-84.189,317.89,0.31,7
